prospect_id,company_name,domain,last_scrape_date,status,articles_found,rss_url,error_message
473,Himachal Dastak Media Group,himachaldastak.com,2026-01-18 22:14:17,success,10,https://swelbyboy.github.io/prospect-rss-feeds/himachal-dastak-media-group.xml,
942,The News Lens 關鍵評論網,thenewslens.com,2026-01-18 22:14:17,success,10,https://swelbyboy.github.io/prospect-rss-feeds/the-news-lens-關鍵評論網.xml,
1001,VIVA.co.id,viva.co.id,2026-01-18 22:14:17,success,10,https://swelbyboy.github.io/prospect-rss-feeds/viva-co-id.xml,
1031,Yeşil Gazete,yesilgazete.org,2026-01-18 22:14:17,failed,0,,HTTP 403
1021,Womany,womany.net,2026-01-18 22:14:18,success,10,https://swelbyboy.github.io/prospect-rss-feeds/womany.xml,
1047,Życie Kalisza,zyciekalisza.pl,2026-01-18 22:14:18,failed,0,,HTTP 403
1045,Sportski žurnal (zvanična stranica),zurnal.rs,2026-01-18 22:14:19,success,10,https://swelbyboy.github.io/prospect-rss-feeds/sportski-žurnal--zvanična-stranica.xml,
1443,Hindi Tracks,hinditracks.in,2026-01-18 22:14:20,failed,0,,HTTP 403
990,Varaždinske vijesti,varazdinske-vijesti.hr,2026-01-18 22:14:20,success,10,https://swelbyboy.github.io/prospect-rss-feeds/varaždinske-vijesti.xml,
939,The Ladies Finger,theladiesfinger.com,2026-01-18 22:14:21,success,10,https://swelbyboy.github.io/prospect-rss-feeds/the-ladies-finger.xml,
1002,Voetbalflitsen,voetbalflitsen.nl,2026-01-18 22:14:23,success,10,https://swelbyboy.github.io/prospect-rss-feeds/voetbalflitsen.xml,
1548,Dharitri,dharitri.com,2026-01-18 22:14:24,success,10,https://swelbyboy.github.io/prospect-rss-feeds/dharitri.xml,
1032,We Media (India),youandi.com,2026-01-18 22:14:24,success,10,https://swelbyboy.github.io/prospect-rss-feeds/we-media--india.xml,
1013,Wiara.pl,wiara.pl,2026-01-18 22:14:25,success,10,https://swelbyboy.github.io/prospect-rss-feeds/wiara-pl.xml,
1042,Zougla,zougla.gr,2026-01-18 22:14:26,success,10,https://swelbyboy.github.io/prospect-rss-feeds/zougla.xml,
1183,Marmara Gazetesi,marmaragazetesi.com,2026-01-18 22:14:27,success,10,https://swelbyboy.github.io/prospect-rss-feeds/marmara-gazetesi.xml,
1000,Visoko.co.ba,visoko.co.ba,2026-01-18 22:14:29,success,10,https://swelbyboy.github.io/prospect-rss-feeds/visoko-co-ba.xml,
1654,OFF Magazine,offmagazine.gr,2026-01-18 22:14:33,success,10,https://swelbyboy.github.io/prospect-rss-feeds/off-magazine.xml,
1842,Marokko,nieuws.marokko.nl,2026-01-18 22:14:35,success,10,https://swelbyboy.github.io/prospect-rss-feeds/marokko.xml,
1466,Amader Barisal,amaderbarisal.com,2026-01-18 22:14:38,success,10,https://swelbyboy.github.io/prospect-rss-feeds/amader-barisal.xml,
985,Universul argesean,universulargesean.ro,2026-01-18 22:14:45,failed,0,,"Error fetching feed: HTTPSConnectionPool(host='www.universulargesean.ro', port=443): Max retries exceeded with url: /feed/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.universulargesean.ro', port=443) at 0x7fa7e2cd4d10>, 'Connection to www.universulargesean.ro timed out. (connect timeout=30)'))"
1948,9 999 999 Views,9999999views.com,2026-01-18 22:14:48,success,10,https://swelbyboy.github.io/prospect-rss-feeds/9-999-999-views.xml,
1727,ArabObserver,arabobserver.com,2026-01-18 22:14:48,failed,0,,HTTP 522
1903,Go News Group,gonews.co,2026-01-18 22:14:49,success,10,https://swelbyboy.github.io/prospect-rss-feeds/go-news-group.xml,
1958,Domashni Hitrini,hitrinibg.com,2026-01-18 22:14:50,success,10,https://swelbyboy.github.io/prospect-rss-feeds/domashni-hitrini.xml,
2032,Steven Aitchison,stevenaitchison.co.uk,2026-01-18 22:14:51,success,10,https://swelbyboy.github.io/prospect-rss-feeds/steven-aitchison.xml,
1567,Mesagerul lui Hristos,stiriincurajari.ro,2026-01-18 22:14:52,failed,0,,"Error fetching feed: HTTPSConnectionPool(host='stiriincurajari.ro', port=443): Max retries exceeded with url: /feed/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='stiriincurajari.ro', port=443) at 0x7fa7e2b3db50>, 'Connection to stiriincurajari.ro timed out. (connect timeout=30)'))"
1596,Transilvania 365,transilvania365.ro,2026-01-18 22:14:53,failed,0,,"Error fetching feed: HTTPSConnectionPool(host='transilvania365.ro', port=443): Max retries exceeded with url: /feed/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='transilvania365.ro', port=443) at 0x7fa7e2bb9050>, 'Connection to transilvania365.ro timed out. (connect timeout=30)'))"
1638,InfoOradea,infooradea.ro,2026-01-18 22:14:55,failed,0,,"Error fetching feed: HTTPSConnectionPool(host='infooradea.ro', port=443): Max retries exceeded with url: /feed/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='infooradea.ro', port=443) at 0x7fa7e2d80ad0>, 'Connection to infooradea.ro timed out. (connect timeout=30)'))"
