Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
Albumism,-,N/A,-,,United States,albumism.com,No feed generated,FALSE,,,FALSE,
Kiss Binghamton,https://kissbinghamton.com/feed,OG,success,2025-11-29 11:36:08,United States,kissbinghamton.com,Sending,FALSE,Karen,,FALSE,
The Fandom Post,https://fandompost.com/feed,N/A,failed,2025-11-29 11:36:08,United States,fandompost.com,No feed generated,FALSE,Sam,,FALSE,
Ruck Rugby Limited,https://ruck.co.uk/feed,N/A,failed,2025-11-29 11:36:09,United Kingdom,ruck.co.uk,No feed generated,FALSE,Sam,,FALSE,
BangShift.com,https://bangshift.com/feed,OG,success,2025-11-29 11:36:10,United States,bangshift.com,Sending,FALSE,Karen,,FALSE,
Wisden Cricket,-,N/A,-,,United Kingdom,wisden.com,No feed generated,FALSE,,,FALSE,
AcheiUSA,https://acheiusa.com/feed,OG,success,2025-11-29 11:36:17,United States,acheiusa.com,Sending,FALSE,Karen,,FALSE,
Agrios Ltd,-,N/A,-,,United Kingdom,farminguk.com,No feed generated,FALSE,,,FALSE,
Coleraine Chronicle,-,N/A,-,,United Kingdom,colerainechronicle.co.uk,No feed generated,FALSE,,,FALSE,
KTVB,-,N/A,-,,United States,ktvb.com,No feed generated,FALSE,,,FALSE,
KBTX,-,N/A,-,,United States,kbtx.com,No feed generated,FALSE,,,FALSE,
BlackSportsOnline,https://blacksportsonline.com/feed,OG,success,2025-11-29 11:36:18,United States,blacksportsonline.com,Sending,FALSE,Karen,,FALSE,
EDM Identity,https://edmidentity.com/feed,OG,success,2025-11-29 11:36:20,United States,edmidentity.com,Sending,FALSE,Karen,,FALSE,
Awful Announcing,https://awfulannouncing.com/feed,OG,success,2025-11-29 11:36:21,United States,awfulannouncing.com,Sending,FALSE,Karen,,FALSE,
Motorsport Week,https://motorsportweek.com/feed,OG,success,2025-11-29 11:36:25,United Kingdom,motorsportweek.com,Sending,FALSE,Sam,,FALSE,
América TeVe,-,N/A,-,,United States,americateve.com,No feed generated,FALSE,,,FALSE,
Rangers FC,-,N/A,-,,United Kingdom,rangers.co.uk,No feed generated,FALSE,,,FALSE,
Mactrast,https://mactrast.com/feed,OG,success,2025-11-29 11:36:29,United States,mactrast.com,Insufficient/Old Content,FALSE,Sam,,FALSE,No content showing on newsletter
411Mania,https://411mania.com/feed,"OG (8), RSS (2)",success,2025-11-29 11:36:50,United States,411mania.com,No feed generated,FALSE,Sam,,FALSE,
Awareness Act,https://awarenessact.com/feed,OG,success,2025-11-29 11:36:51,United States,awarenessact.com,Insufficient/Old Content,FALSE,Sam,,FALSE,Most articles in the feed are from months ago
Bleeding Cool,https://bleedingcool.com/feed,OG,success,2025-11-29 11:36:51,United States,bleedingcool.com,Sending,FALSE,Karen,,FALSE,
The Hard Tackle,https://thehardtackle.com/feed,OG,success,2025-11-29 11:36:53,United Kingdom,thehardtackle.com,Insufficient/Old Content,FALSE,Sam,,FALSE,Most articles in the feed are from months ago
Comic Watch,https://comic-watch.com/feed,OG,success,2025-11-29 11:36:56,United States,comic-watch.com,Sending,FALSE,Karen,,FALSE,
MSPoweruser.com,https://mspoweruser.com/feed,N/A,failed,2025-11-29 11:36:56,United Kingdom,mspoweruser.com,No feed generated,FALSE,Sam,,FALSE,
Soccer Publishing Limited,https://thisisanfield.com/feed,OG,success,2025-11-29 11:36:57,United Kingdom,thisisanfield.com,Sending,FALSE,Sam,,FALSE,
Region 8 News,-,N/A,-,,United States,kait8.com,No feed generated,FALSE,,,FALSE,
"American Football International, LLC",https://www.americanfootballinternational.com/comments/feed/,OG,success,2025-11-29 11:37:02,United States,americanfootballinternational.com,Insufficient/Old Content,FALSE,Sam,,FALSE,Most articles in the feed are from months ago
