Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
Noupe,https://swelbyboy.github.io/prospect-rss-feeds/noupe.xml,OG,success,2025-12-02 11:58:12,United States,noupe.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Releases,-,N/A,-,,United Kingdom,releases.com,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
Eordaialive.com,https://swelbyboy.github.io/prospect-rss-feeds/eordaialive-com.xml,OG,success,2025-12-02 11:58:18,Greece,eordaialive.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Doctor's Cafe,-,N/A,-,,Bangladesh,medivoicebd.com,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
Lavart,https://swelbyboy.github.io/prospect-rss-feeds/lavart.xml,OG,success,2025-12-02 11:42:23,Greece,lavart.gr,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Dziennik Wschodni,-,N/A,-,,Poland,dziennikwschodni.pl,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
Sheen Magazine,https://swelbyboy.github.io/prospect-rss-feeds/sheen-magazine.xml,OG,success,2025-12-02 11:58:10,United States,sheenmagazine.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Freegroup,https://swelbyboy.github.io/prospect-rss-feeds/freegroup.xml,OG,success,2025-12-02 11:58:09,Taiwan,free.com.tw,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
The American Spectator,https://swelbyboy.github.io/prospect-rss-feeds/the-american-spectator.xml,OG,success,2025-12-02 11:58:10,United States,spectator.org,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Curly Tales,https://swelbyboy.github.io/prospect-rss-feeds/curly-tales.xml,OG,success,2025-12-02 11:58:36,India,curlytales.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
World News Network,-,N/A,-,,United Kingdom,wn.com,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
